"Code du chapitre SH";"Libellé du chapitre SH";"Code du groupement d'utilisation";"Libellé du groupement d'utilisation";"Code de la section CTCI";"Libellé de la section CTCI";"Poids en KG Janvier 2000";"Poids en KG Février 2000";"Poids en KG Mars 2000";"Poids en KG Avril 2000";"Poids en KG Mai 2000";"Poids en KG Juin 2000";"Poids en KG Janvier 2001";"Poids en KG Février 2001";"Poids en KG Mars 2001";"Poids en KG Avril 2001";"Poids en KG Mai 2001";"Poids en KG Juin 2001";
"74";"CUIVRE ET OUVRAGES EN CUIVRE";"4";"PRODUITS BRUTS D'ORIGINE MINERALE";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"1068670";"1147684";"1502370";"848503";"1651271";"1225008";"1185624";"1214990";"1076622";"1003413";"1511272";"976305";
"74";"CUIVRE ET OUVRAGES EN CUIVRE";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"33925";"62780";"83212";"43381";"70286";"84691";"51483";"48147";"59571";"50413";"72435";"52650";
"75";"NICKEL ET OUVRAGES EN NICKEL";"4";"PRODUITS BRUTS D'ORIGINE MINERALE";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"13";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";
"75";"NICKEL ET OUVRAGES EN NICKEL";"5";"DEMI  PRODUITS";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"0";"0";"0";"0";"1000";"600";"0";"0";"0";"0";"0";"0";
"75";"NICKEL ET OUVRAGES EN NICKEL";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"186";"12";"200";"91";"2307";"256";"165";"610";"279";"20";"136";"2238";
"75";"NICKEL ET OUVRAGES EN NICKEL";"4";"PRODUITS BRUTS D'ORIGINE MINERALE";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"0";"46521";"0";"0";"20732";"92630";"0";"0";"0";"0";"42492";"61684";
"75";"NICKEL ET OUVRAGES EN NICKEL";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"4363";"12457";"6858";"1310";"8479";"6168";"16903";"14811";"13044";"10185";"19464";"7655";
"76";"ALUMINIUM ET OUVRAGES EN ALUMINIUM";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"52262";"158810";"487725";"29471";"119365";"166210";"137043";"84210";"85620";"139352";"214699";"262867";
"76";"ALUMINIUM ET OUVRAGES EN ALUMINIUM";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"2335965";"2421634";"2595284";"2192530";"2736698";"2528404";"3499686";"2455300";"2920055";"2704304";"2861990";"2659857";
"76";"ALUMINIUM ET OUVRAGES EN ALUMINIUM";"4";"PRODUITS BRUTS D'ORIGINE MINERALE";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"562147";"850922";"844738";"399947";"777388";"530263";"613329";"770085";"783350";"873914";"880946";"724964";
"76";"ALUMINIUM ET OUVRAGES EN ALUMINIUM";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"85112";"77965";"118618";"117384";"87286";"80645";"125060";"109408";"151272";"142534";"120366";"151932";
"78";"PLOMB ET OUVRAGES EN PLOMB";"4";"PRODUITS BRUTS D'ORIGINE MINERALE";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"0";"0";"0";"0";"0";"0";"0";"19795";"0";"0";"0";"0";
"78";"PLOMB ET OUVRAGES EN PLOMB";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"4541777";"92781";"3741846";"6840522";"1187078";"160209";"5082062";"3434781";"9036947";"6059489";"6746423";"5174410";
"78";"PLOMB ET OUVRAGES EN PLOMB";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"180";"2097";"271";"370";"6345";"4344";"468";"7442";"981";"1586";"25118";"18905";
"79";"ZINC ET OUVRAGES EN ZINC";"4";"PRODUITS BRUTS D'ORIGINE MINERALE";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"83284";"141270";"0";"897870";"0";"38756";"1002300";"1528880";"20690";"0";"132000";"15000";
"79";"ZINC ET OUVRAGES EN ZINC";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"1623096";"1462962";"2908907";"525294";"2760257";"630985";"1423910";"748750";"1018906";"1818144";"3902454";"1508616";
"80";"ETAIN ET OUVRAGES EN ÉTAIN";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"5442";"8041";"12526";"8236";"12596";"746";"518";"13975";"7789";"734";"18610";"456";
"80";"ETAIN ET OUVRAGES EN ÉTAIN";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"0";"95";"0";"0";"83";"121";"267";"0";"3";"0";"78";"5";
"81";"AUTRES MÉTAUX COMMUNS, CERMETS";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"44454";"171887";"207611";"208313";"188005";"418238";"57449";"212163";"212127";"200358";"152506";"400299";
"82";"OUTILS, OUTILLAGES, ARTICLES DE COUTELLERIE EN MÉTAUX COMMUNS";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"101279";"413970";"76692";"107408";"118121";"81286";"262031";"187181";"87002";"114520";"131571";"147342";
"82";"OUTILS, OUTILLAGES, ARTICLES DE COUTELLERIE EN MÉTAUX COMMUNS";"6";"PRODUITS FINIS D'EQUIPEMENT AGRICOLE";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"11843";"106492";"58177";"21499";"29324";"28501";"10646";"43693";"53219";"36326";"74801";"33981";
"82";"OUTILS, OUTILLAGES, ARTICLES DE COUTELLERIE EN MÉTAUX COMMUNS";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"35533";"64113";"16506";"15537";"56083";"16300";"9484";"15603";"37491";"15511";"15587";"65126";
"82";"OUTILS, OUTILLAGES, ARTICLES DE COUTELLERIE EN MÉTAUX COMMUNS";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"192694";"231432";"328582";"164247";"263043";"188611";"231496";"369459";"370037";"231857";"266286";"343029";
"83";"OUVRAGES DIVERS EN MÉTAUX COMMUNS";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"5516";"26139";"15624";"17672";"18831";"25679";"21927";"57314";"19694";"9813";"29323";"22667";
"83";"OUVRAGES DIVERS EN MÉTAUX COMMUNS";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"8";"ARTICLES MANUFACTURÉS DIVERS";"103";"306";"4";"1897";"1111";"14025";"655";"0";"6663";"746";"1555";"0";
"83";"OUVRAGES DIVERS EN MÉTAUX COMMUNS";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"34";"3906";"116";"148";"330";"12361";"4020";"186";"520";"517";"6";"29";
"83";"OUVRAGES DIVERS EN MÉTAUX COMMUNS";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"30073";"29206";"58774";"4457";"62523";"31382";"61380";"6138";"17605";"46321";"56686";"22027";
"83";"OUVRAGES DIVERS EN MÉTAUX COMMUNS";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"198928";"370630";"234365";"390294";"444218";"508106";"421975";"366392";"374432";"408797";"501108";"499855";
"83";"OUVRAGES DIVERS EN MÉTAUX COMMUNS";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"488272";"804977";"690222";"499821";"829235";"798313";"679286";"562771";"728690";"704081";"874611";"851385";
"84";"RÉACTEURS NUCLÉAIRES, CHAUDIÈRES, MACHINES ET APPAREILS MÉCANIQUES";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"9350494";"10355366";"11758477";"10055141";"14485037";"14741275";"12468063";"11585996";"12077333";"13199918";"13343886";"13691173";
"84";"RÉACTEURS NUCLÉAIRES, CHAUDIÈRES, MACHINES ET APPAREILS MÉCANIQUES";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"8";"ARTICLES MANUFACTURÉS DIVERS";"0";"3668";"0";"828";"328";"130";"2";"12";"0";"1611";"0";"1821";
"84";"RÉACTEURS NUCLÉAIRES, CHAUDIÈRES, MACHINES ET APPAREILS MÉCANIQUES";"8";"PRODUITS FINIS DE CONSOMMATION";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"293898";"635738";"728768";"1132485";"1352816";"1181457";"743076";"986120";"543855";"479302";"616619";"529803";
"84";"RÉACTEURS NUCLÉAIRES, CHAUDIÈRES, MACHINES ET APPAREILS MÉCANIQUES";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"4340";"17199";"12902";"11164";"16633";"852";"20389";"8835";"2965";"30169";"19240";"26562";
"84";"RÉACTEURS NUCLÉAIRES, CHAUDIÈRES, MACHINES ET APPAREILS MÉCANIQUES";"5";"DEMI  PRODUITS";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"97719";"76032";"79659";"109424";"194183";"107464";"106334";"131592";"105424";"102393";"140741";"130692";
"84";"RÉACTEURS NUCLÉAIRES, CHAUDIÈRES, MACHINES ET APPAREILS MÉCANIQUES";"6";"PRODUITS FINIS D'EQUIPEMENT AGRICOLE";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"661689";"684734";"820804";"632169";"460264";"304013";"596053";"597891";"895876";"792697";"709083";"705877";
"85";"MACHINES, APPAREILS ET MATÉRIELS ÉLECTRIQUES, D'ENREGISTREMENT";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"102903";"121623";"77000";"42408";"24425";"17219";"86384";"65478";"61085";"55867";"46554";"35915";
"85";"MACHINES, APPAREILS ET MATÉRIELS ÉLECTRIQUES, D'ENREGISTREMENT";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"8";"ARTICLES MANUFACTURÉS DIVERS";"2";"17";"240";"321";"150";"84";"179";"12";"522";"609";"574";"400";
"85";"MACHINES, APPAREILS ET MATÉRIELS ÉLECTRIQUES, D'ENREGISTREMENT";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"8208989";"9568230";"9097576";"7222421";"8306398";"9440455";"7301355";"8088186";"7897900";"7324730";"8982717";"8819313";
"85";"MACHINES, APPAREILS ET MATÉRIELS ÉLECTRIQUES, D'ENREGISTREMENT";"8";"PRODUITS FINIS DE CONSOMMATION";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"1693899";"1833965";"1438840";"927840";"1474983";"1202536";"1833268";"1502402";"1215680";"1578280";"1458046";"1373461";
"85";"MACHINES, APPAREILS ET MATÉRIELS ÉLECTRIQUES, D'ENREGISTREMENT";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"92009";"131149";"81347";"58253";"126921";"94875";"89202";"83628";"38890";"30946";"105603";"81690";
"85";"MACHINES, APPAREILS ET MATÉRIELS ÉLECTRIQUES, D'ENREGISTREMENT";"5";"DEMI  PRODUITS";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"1448310";"1464180";"1368869";"1164143";"1130625";"1452635";"2592897";"2894234";"2145492";"2214271";"2267709";"2226119";
"86";"VÉHICULES ET MATÉRIEL POUR VOIES FERRÉES";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"1175499";"341252";"224414";"288102";"318260";"32335";"14611";"29477";"184890";"76466";"29024";"24843";
"87";"AUTOMOBILES, TRACTEURS, CYCLES, VÉHICULES TERRESTRES";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"18240";"23817";"40989";"33165";"19826";"23022";"15568";"43254";"70466";"17559";"21027";"32854";
"87";"AUTOMOBILES, TRACTEURS, CYCLES, VÉHICULES TERRESTRES";"6";"PRODUITS FINIS D'EQUIPEMENT AGRICOLE";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"705407";"607770";"640237";"422119";"686216";"406957";"766536";"491326";"539792";"548655";"1038077";"1209196";
"87";"AUTOMOBILES, TRACTEURS, CYCLES, VÉHICULES TERRESTRES";"8";"PRODUITS FINIS DE CONSOMMATION";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"5029313";"4249099";"4979022";"3514482";"5474582";"5612939";"5670415";"4960821";"5508448";"5022922";"7387891";"6734826";
"87";"AUTOMOBILES, TRACTEURS, CYCLES, VÉHICULES TERRESTRES";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"4157569";"3432792";"4023597";"2748478";"3645361";"3612538";"6089211";"2657086";"7997167";"3908058";"3807807";"4021300";
"87";"AUTOMOBILES, TRACTEURS, CYCLES, VÉHICULES TERRESTRES";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"8";"ARTICLES MANUFACTURÉS DIVERS";"1095";"8865";"141";"10303";"7592";"4049";"35626";"42206";"3330";"4739";"8069";"14178";
"88";"NAVIGATION AÉRIENNE OU SPATIALE";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"8";"ARTICLES MANUFACTURÉS DIVERS";"0";"0";"0";"0";"0";"21";"0";"0";"0";"0";"0";"0";
"88";"NAVIGATION AÉRIENNE OU SPATIALE";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"3260";"6282";"10954";"134575";"1545";"7485";"18869";"14601";"13606";"10928";"11321";"13003";
"89";"NAVIGATION MARITIME OU FLUVIALE";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"5186113";"55";"5181923";"36662";"16851511";"5691513";"11376";"44427";"736899";"2415725";"35451";"43604";
"90";"INSTRUMENTS ET APPAREILS D'OPTIQUE, DE PHOTOGRAPHIE, MÉDICO-CHIRURGICAUX";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"8";"ARTICLES MANUFACTURÉS DIVERS";"535936";"593407";"723503";"480661";"687210";"711689";"631064";"485856";"1161115";"481939";"685649";"645333";
"90";"INSTRUMENTS ET APPAREILS D'OPTIQUE, DE PHOTOGRAPHIE, MÉDICO-CHIRURGICAUX";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"31344";"26032";"37828";"26148";"37305";"30790";"37488";"30948";"35895";"37239";"53092";"36732";
"90";"INSTRUMENTS ET APPAREILS D'OPTIQUE, DE PHOTOGRAPHIE, MÉDICO-CHIRURGICAUX";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"0";"0";"0";"0";"0";"15";"2";"0";"0";"0";"0";"0";
"90";"INSTRUMENTS ET APPAREILS D'OPTIQUE, DE PHOTOGRAPHIE, MÉDICO-CHIRURGICAUX";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"57853";"71808";"71797";"68450";"79685";"82986";"122282";"103818";"88199";"109300";"120940";"77706";
"91";"HORLOGERIE";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"6448";"6239";"6179";"6397";"7206";"6387";"3875";"5219";"4968";"3190";"3949";"4573";
"91";"HORLOGERIE";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"8";"ARTICLES MANUFACTURÉS DIVERS";"2169";"2584";"1500";"748";"1212";"1390";"10034";"795";"668";"2181";"1210";"2247";
"91";"HORLOGERIE";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"118951";"182400";"75699";"31861";"23488";"37337";"125209";"100561";"62445";"26145";"76567";"32773";
"92";"INSTRUMENTS DE MUSIQUE, PARTIES DE CES INSTRUMENTS";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"4977";"10180";"23045";"12454";"20067";"19620";"8459";"15357";"15502";"13023";"16059";"14029";
"93";"ARMES, MUNITIONS ET LEURS PARTIES ET ACCESSOIRES";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"8";"ARTICLES MANUFACTURÉS DIVERS";"20830";"95";"42615";"261";"59670";"662";"59343";"2908";"25687";"39357";"21741";"63969";
"93";"ARMES, MUNITIONS ET LEURS PARTIES ET ACCESSOIRES";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"1";"0";"0";"0";"20";"18";"0";"1";"0";"2";"0";"1";
"94";"MEUBLES, MOBILIER MÉDICO-CHIRURGICAL, ARTICLES LUMINEUX";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"256690";"392710";"304198";"189137";"211461";"879126";"244905";"143752";"140111";"136627";"196534";"117665";
"94";"MEUBLES, MOBILIER MÉDICO-CHIRURGICAL, ARTICLES LUMINEUX";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"1652919";"2008817";"2513158";"1605348";"2295060";"2549855";"2374202";"1827403";"1942776";"2225701";"2638926";"2300059";
"94";"MEUBLES, MOBILIER MÉDICO-CHIRURGICAL, ARTICLES LUMINEUX";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"8";"ARTICLES MANUFACTURÉS DIVERS";"92710";"159121";"136452";"109655";"241876";"196216";"289604";"220771";"238804";"180632";"166258";"237609";
"95";"JOUETS, JEUX, ARTICLES POUR DIVERTISSEMENTS OU POUR SPORT";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"620303";"1475265";"731590";"384517";"451920";"451959";"870930";"860776";"581711";"423169";"516344";"670757";
"96";"OUVRAGES DIVERS";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"8";"ARTICLES MANUFACTURÉS DIVERS";"42166";"70248";"100047";"55623";"64721";"51320";"78368";"40728";"25890";"74344";"38649";"61651";
"96";"OUVRAGES DIVERS";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"112713";"110643";"126693";"129029";"157695";"147693";"153086";"123620";"134526";"136365";"193674";"186136";
"96";"OUVRAGES DIVERS";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"475114";"680121";"655464";"476144";"751500";"778402";"736005";"689885";"597163";"685921";"651879";"963097";
"97";"OBJETS D'ART, DE COLLECTION OU D'ANTIQUITÉ";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"1634";"15836";"5757";"23066";"25708";"130764";"10498";"24834";"35118";"31937";"30382";"94319";
